age,annual_income,credit_score,total_spending_val,tx_frequency
49.0,27203.9,733.0,16560.34,84.0
41.0,34066.7,718.0,18427.99,90.0
37.0,147374.76,636.0,6060.71,15.0
59.0,135848.62,570.0,18174.22,11.0
42.0,45614.42,427.0,12144.97,45.0
55.0,67234.95,482.0,12918.5,48.0
62.0,130097.37,630.0,17619.19,23.0
58.0,136184.34,628.0,16706.42,20.0
60.0,118924.38,550.0,18225.18,28.0
48.0,56668.32,512.0,15106.96,53.0
45.0,53410.96,451.0,10368.04,25.0
27.0,128146.91,756.0,5194.4,34.0
46.0,34816.1,733.0,19791.31,73.0
30.0,125097.36,793.0,7617.54,26.0
38.0,15000.0,766.0,19301.71,92.0
54.0,136997.48,626.0,16815.05,12.0
29.0,127832.53,721.0,4579.08,42.0
53.0,27599.51,732.0,20793.98,111.0
48.0,62345.69,389.0,13030.53,45.0
23.0,144370.96,639.0,6330.38,17.0
48.0,65437.54,424.0,10710.23,35.0
62.0,121520.69,686.0,20417.86,17.0
37.0,137903.97,691.0,10139.79,32.0
47.0,78279.2,441.0,13440.17,34.0
54.0,130677.45,641.0,16065.89,23.0
29.0,132730.38,693.0,6817.14,32.0
34.0,138112.54,707.0,5468.11,35.0
50.0,58444.13,457.0,14999.49,31.0
39.0,34075.77,651.0,18276.03,95.0
40.0,39368.4,741.0,17737.39,98.0
54.0,132712.6,582.0,19667.4,21.0
44.0,31758.87,724.0,16712.57,100.0
58.0,144194.44,584.0,21219.08,27.0
44.0,24160.99,648.0,19451.9,98.0
39.0,55220.73,424.0,14298.91,53.0
41.0,61830.19,487.0,11452.62,17.0
42.0,64357.77,432.0,12600.46,44.0
54.0,130909.76,572.0,15297.85,29.0
28.0,133286.76,678.0,3430.55,20.0
49.0,33052.56,850.0,18984.2,81.0
47.0,29975.85,796.0,18211.74,92.0
38.0,52536.84,399.0,12916.16,35.0
33.0,33587.01,699.0,17785.17,97.0
48.0,35694.8,674.0,21372.12,104.0
37.0,62140.67,413.0,14504.84,48.0
42.0,58374.71,427.0,10517.15,36.0
32.0,130502.73,607.0,6429.12,10.0
53.0,122444.26,692.0,16290.83,14.0
29.0,136873.05,690.0,6777.04,21.0
33.0,123884.89,749.0,5055.61,24.0
66.0,131128.77,594.0,15984.8,9.0
28.0,137693.69,679.0,5670.34,31.0
32.0,126569.35,715.0,5549.75,39.0
64.0,137561.8,645.0,19024.78,22.0
41.0,54073.0,512.0,11499.97,33.0
52.0,30230.26,729.0,18958.22,95.0
33.0,134854.24,686.0,4164.63,26.0
44.0,26991.02,634.0,18883.57,106.0
56.0,132234.63,617.0,17026.33,27.0
28.0,132767.82,732.0,6709.85,27.0
64.0,136525.84,559.0,20887.34,13.0
35.0,62563.96,465.0,11952.82,48.0
59.0,134553.61,588.0,16418.06,23.0
40.0,65843.81,380.0,15692.61,46.0
44.0,31000.43,778.0,17317.15,99.0
27.0,136895.32,711.0,8138.96,15.0
28.0,128342.59,742.0,7552.1,37.0
56.0,133715.04,614.0,20062.62,42.0
34.0,128863.09,694.0,5631.5,28.0
34.0,140362.79,667.0,6157.62,41.0
43.0,60649.56,398.0,10828.76,29.0
52.0,131601.09,740.0,16371.05,35.0
45.0,36796.77,638.0,20353.36,82.0
37.0,33750.51,721.0,17997.02,89.0
41.0,63928.66,421.0,12548.08,57.0
23.0,122214.51,630.0,4614.75,41.0
37.0,48485.68,466.0,12314.63,43.0
46.0,31999.65,684.0,16397.31,99.0
49.0,64563.73,494.0,13317.03,29.0
43.0,29833.84,685.0,16656.57,87.0
58.0,135941.65,625.0,20388.3,23.0
34.0,143650.23,730.0,6454.49,17.0
45.0,65656.96,472.0,12357.61,38.0
29.0,135576.74,756.0,7046.28,18.0
20.0,135575.26,766.0,3196.9,21.0
41.0,64617.41,356.0,12795.62,44.0
42.0,59682.76,456.0,17144.23,23.0
50.0,42675.01,701.0,16820.26,98.0
56.0,128883.66,665.0,19124.0,36.0
28.0,127193.27,768.0,9565.6,25.0
60.0,134464.7,647.0,21585.55,20.0
53.0,31380.58,764.0,18087.88,94.0
37.0,139093.84,674.0,5040.1,28.0
61.0,123255.9,704.0,20046.03,18.0
30.0,138895.71,701.0,8330.09,20.0
46.0,30236.53,687.0,18930.46,88.0
41.0,29255.07,731.0,16388.61,111.0
34.0,57043.16,526.0,13379.65,33.0
51.0,23948.62,713.0,17423.27,97.0
33.0,136864.05,715.0,2356.43,23.0
35.0,140587.84,635.0,6030.47,20.0
34.0,37648.52,691.0,21407.71,103.0
60.0,135293.13,642.0,18690.03,27.0
37.0,30445.66,664.0,19047.99,107.0
61.0,127710.52,642.0,16445.94,8.0
34.0,135200.0,690.0,3521.04,27.0
55.0,122855.65,579.0,17798.98,36.0
29.0,133733.67,670.0,3122.15,28.0
67.0,132107.68,563.0,19384.65,12.0
46.0,28949.53,683.0,16000.07,79.0
60.0,133888.42,691.0,17683.77,24.0
42.0,42342.82,767.0,17438.61,88.0
63.0,118693.62,633.0,20135.4,12.0
40.0,26565.98,633.0,17783.02,94.0
34.0,32673.13,822.0,17948.84,93.0
50.0,53289.46,477.0,12193.36,38.0
39.0,43120.09,704.0,18352.61,102.0
44.0,21641.09,612.0,16916.02,85.0
41.0,61543.45,463.0,11047.52,36.0
36.0,50967.02,454.0,11056.87,44.0
65.0,133530.33,649.0,17694.07,33.0
45.0,45695.2,392.0,14433.65,39.0
50.0,123066.55,651.0,18177.0,20.0
32.0,142852.97,674.0,4645.83,10.0
38.0,64325.38,456.0,13587.93,35.0
53.0,134744.07,585.0,17319.82,17.0
34.0,68980.52,421.0,12814.85,37.0
28.0,130783.0,645.0,8195.2,23.0
29.0,132328.26,637.0,6649.5,27.0
55.0,130017.47,654.0,15579.41,24.0
33.0,55626.26,419.0,13599.64,19.0
39.0,32505.66,748.0,20006.93,106.0
28.0,135750.79,637.0,5195.42,28.0
33.0,135872.05,758.0,4163.89,20.0
39.0,46035.22,694.0,19311.44,97.0
43.0,45134.3,657.0,18287.79,89.0
44.0,24022.42,708.0,20184.27,96.0
45.0,58570.51,421.0,13162.62,39.0
21.0,143296.4,700.0,5166.11,25.0
39.0,37344.78,736.0,18294.99,101.0
45.0,53493.43,451.0,11816.58,26.0
27.0,128359.93,722.0,8206.13,20.0
57.0,129877.57,575.0,17561.48,25.0
35.0,125865.47,705.0,7666.75,25.0
66.0,138142.32,604.0,17910.19,23.0
42.0,64692.43,418.0,11322.66,38.0
50.0,39814.28,734.0,17025.17,101.0
59.0,131203.32,661.0,21956.77,17.0
33.0,34862.82,670.0,13946.64,98.0
29.0,29484.32,777.0,21565.32,85.0
34.0,41591.68,708.0,17471.41,105.0
38.0,31678.69,757.0,17548.35,103.0
48.0,65640.07,453.0,12449.06,36.0
61.0,139535.65,666.0,15307.36,14.0
34.0,134934.11,765.0,6688.01,18.0
38.0,38465.98,694.0,21320.08,100.0
61.0,129765.28,643.0,19914.94,28.0
42.0,37878.21,737.0,16801.31,98.0
42.0,46410.0,424.0,10784.42,35.0
29.0,132134.6,732.0,6549.57,28.0
33.0,135690.45,691.0,6736.59,5.0
56.0,134754.32,691.0,17738.52,17.0
35.0,33410.25,657.0,18800.6,94.0
48.0,61155.44,439.0,13758.05,53.0
43.0,57590.47,501.0,13056.78,34.0
36.0,31262.16,715.0,18353.76,92.0
39.0,31114.09,725.0,14378.82,95.0
35.0,21109.31,778.0,16770.13,107.0
61.0,144947.86,680.0,20812.76,18.0
52.0,26097.47,656.0,18499.26,100.0
39.0,59889.48,470.0,15484.93,36.0
43.0,48495.25,401.0,11672.16,24.0
37.0,52540.54,456.0,12564.8,35.0
45.0,40838.91,751.0,17955.42,84.0
67.0,134413.7,604.0,19397.37,4.0
37.0,35746.15,707.0,19054.03,90.0
65.0,128191.82,641.0,17485.68,20.0
44.0,66050.97,405.0,9933.44,39.0
47.0,61409.91,420.0,14267.33,29.0
41.0,26622.99,650.0,14594.78,82.0
56.0,142000.87,624.0,19772.51,10.0
39.0,59172.51,485.0,12362.45,49.0
46.0,46007.88,347.0,14081.12,44.0
50.0,32980.19,748.0,19170.29,98.0
26.0,132441.41,754.0,7586.57,14.0
43.0,70519.06,401.0,15703.73,37.0
45.0,53487.81,473.0,12648.46,27.0
50.0,64815.69,454.0,10354.28,41.0
46.0,29177.44,694.0,15925.31,88.0
26.0,135833.68,646.0,7968.64,34.0
25.0,132896.2,681.0,10425.7,29.0
59.0,118663.37,659.0,18502.46,30.0
59.0,130173.64,619.0,14177.13,20.0
43.0,52126.47,469.0,13250.49,47.0
43.0,39792.84,671.0,19196.77,104.0
41.0,25447.92,715.0,16555.83,89.0
38.0,67716.9,492.0,11042.41,31.0
24.0,130540.51,746.0,9798.83,13.0
68.0,133381.69,627.0,17722.41,7.0
28.0,119425.85,740.0,8291.18,30.0
45.0,58908.74,455.0,11469.51,49.0
63.0,136501.73,666.0,16868.5,32.0
46.0,61987.71,464.0,12861.94,39.0
31.0,120232.55,704.0,10028.78,22.0
40.0,41266.03,658.0,19220.31,90.0
27.0,134895.61,738.0,6186.36,13.0
40.0,31896.24,780.0,16217.73,97.0
52.0,137254.2,646.0,21869.17,19.0
31.0,128238.45,753.0,7161.77,41.0
41.0,52665.22,443.0,13385.81,56.0
41.0,49159.91,436.0,14947.33,28.0
47.0,80299.57,486.0,11139.74,36.0
43.0,55933.07,399.0,12386.32,44.0
66.0,138008.86,607.0,17825.13,14.0
59.0,126983.34,626.0,14977.08,24.0
39.0,29269.52,786.0,18969.72,86.0
60.0,128956.08,676.0,16202.54,20.0
56.0,126442.29,655.0,16273.93,22.0
34.0,29615.41,702.0,19026.91,82.0
38.0,57500.64,496.0,14187.72,40.0
57.0,132393.82,677.0,18214.5,22.0
29.0,135436.92,691.0,5157.82,18.0
44.0,58966.75,454.0,11743.74,64.0
57.0,125569.0,593.0,18559.56,28.0
44.0,44291.43,717.0,16130.3,103.0
49.0,62575.44,547.0,14898.26,49.0
59.0,127082.17,585.0,15253.63,14.0
52.0,53141.13,457.0,14178.75,35.0
33.0,136816.15,782.0,5928.08,16.0
42.0,52150.47,389.0,13571.86,35.0
38.0,28081.31,794.0,15607.76,101.0
63.0,134426.05,589.0,18811.52,23.0
61.0,142029.09,661.0,21850.51,16.0
45.0,57017.62,475.0,13971.86,42.0
45.0,31932.69,645.0,17480.25,88.0
31.0,133348.53,754.0,5773.52,16.0
39.0,30004.44,641.0,16442.85,102.0
55.0,131676.82,631.0,18373.11,28.0
29.0,147856.97,655.0,4909.23,24.0
42.0,34796.64,779.0,20865.19,87.0
46.0,55978.89,415.0,12867.3,40.0
44.0,39453.62,758.0,19782.05,89.0
56.0,117811.92,589.0,16453.59,23.0
25.0,135107.4,761.0,6509.04,20.0
45.0,136855.58,681.0,7636.89,29.0
40.0,68364.96,490.0,12595.24,42.0
38.0,29372.79,704.0,18252.04,96.0
38.0,55355.42,440.0,10739.18,40.0
42.0,57543.86,494.0,11391.94,27.0
44.0,30180.74,749.0,19581.18,92.0
41.0,25886.78,755.0,19673.68,82.0
33.0,58114.63,453.0,14285.77,45.0
31.0,140742.67,646.0,6666.08,40.0
26.0,131805.66,707.0,7126.7,24.0
62.0,140047.38,575.0,19645.63,25.0
33.0,120228.83,668.0,5871.11,18.0
67.0,136540.15,587.0,18921.44,33.0
47.0,48266.9,461.0,14439.25,36.0
53.0,122279.49,625.0,19800.78,35.0
34.0,121609.89,678.0,6739.07,27.0
49.0,23060.28,695.0,17887.3,97.0
66.0,132982.68,672.0,17985.49,38.0
41.0,26053.88,708.0,14427.11,96.0
40.0,31698.89,675.0,19309.09,91.0
54.0,131347.03,617.0,19888.05,8.0
49.0,44918.92,686.0,16917.83,102.0
40.0,59443.22,380.0,14011.29,44.0
39.0,25879.26,723.0,17620.86,91.0
41.0,51399.14,459.0,11185.2,36.0
44.0,46723.06,403.0,12592.58,44.0
43.0,58824.09,466.0,12283.12,51.0
61.0,130823.68,633.0,16741.1,22.0
37.0,63726.13,475.0,13781.26,39.0
39.0,134490.92,707.0,7212.37,15.0
40.0,70115.67,457.0,13889.86,33.0
34.0,137527.48,770.0,4170.19,39.0
55.0,134089.0,574.0,21835.62,12.0
47.0,25554.27,771.0,18727.89,90.0
39.0,52253.26,428.0,13905.7,47.0
30.0,128723.18,741.0,4910.29,24.0
54.0,134327.8,570.0,15243.18,33.0
28.0,135321.28,773.0,7217.34,16.0
50.0,23336.06,768.0,19790.45,89.0
27.0,148251.61,696.0,7378.06,19.0
47.0,59272.35,435.0,12853.29,36.0
41.0,34381.51,781.0,19695.89,83.0
36.0,32157.08,722.0,17550.57,94.0
48.0,70288.72,510.0,10687.44,38.0
50.0,59997.44,465.0,8596.58,30.0
43.0,31551.41,692.0,18840.33,109.0
44.0,72410.84,496.0,11499.56,40.0
46.0,57393.05,357.0,11909.33,46.0
47.0,32022.27,733.0,16791.65,92.0
39.0,36895.46,741.0,21342.64,93.0
33.0,135702.72,711.0,9078.92,34.0
44.0,45359.1,724.0,16587.15,93.0
30.0,122639.18,769.0,6005.25,29.0
41.0,35979.64,752.0,17280.15,90.0
33.0,122268.88,678.0,6486.66,27.0
35.0,24840.03,782.0,16718.92,86.0
47.0,65125.32,399.0,12564.21,37.0
46.0,29455.4,736.0,18532.39,89.0
47.0,29867.82,721.0,15098.89,99.0
37.0,141118.95,710.0,9187.63,28.0
47.0,59175.18,504.0,10166.22,44.0
44.0,35721.28,777.0,18695.69,93.0
38.0,138870.46,651.0,2968.1,23.0
30.0,127660.34,694.0,4425.77,16.0
61.0,125577.19,619.0,19252.79,9.0
28.0,143770.81,677.0,6638.4,26.0
55.0,54362.4,426.0,12594.35,43.0
38.0,36462.83,715.0,16732.86,105.0
36.0,67889.88,414.0,14049.11,30.0
49.0,61785.38,399.0,12136.28,35.0
32.0,135807.36,734.0,5129.73,28.0
40.0,57452.97,524.0,14197.78,46.0
42.0,59773.95,411.0,15950.86,48.0
42.0,27718.52,710.0,21037.37,105.0
63.0,133649.37,554.0,18181.29,25.0
52.0,134774.55,644.0,18897.73,30.0
57.0,127613.66,644.0,19770.95,29.0
39.0,32784.35,737.0,17456.45,99.0
67.0,128449.12,642.0,20878.01,19.0
54.0,125397.1,577.0,17796.09,24.0
60.0,142210.3,589.0,16362.12,18.0
41.0,37876.44,802.0,20372.95,108.0
38.0,62515.56,504.0,13602.51,38.0
55.0,135392.45,588.0,19033.28,23.0
29.0,130506.24,712.0,3117.14,31.0
49.0,56076.91,439.0,10055.5,36.0
66.0,131462.37,634.0,19139.3,19.0
31.0,119786.11,739.0,3035.01,37.0
37.0,33466.03,761.0,20209.91,94.0
36.0,62621.86,346.0,12123.23,47.0
44.0,27813.21,666.0,12613.55,94.0
37.0,28820.7,736.0,21634.48,119.0
64.0,137790.44,654.0,20279.6,22.0
55.0,130104.51,631.0,19668.18,18.0
55.0,144398.6,613.0,15208.95,23.0
49.0,48607.21,300.0,13769.8,42.0
39.0,58377.32,461.0,11496.24,38.0
46.0,67833.19,453.0,11841.96,32.0
32.0,123766.36,701.0,5440.46,31.0
42.0,33241.14,798.0,18877.33,99.0
46.0,50946.44,348.0,7462.64,46.0
42.0,62527.04,480.0,11156.74,40.0
24.0,132991.29,657.0,5810.95,35.0
45.0,47760.31,399.0,17817.11,37.0
63.0,133816.65,602.0,17496.5,21.0
55.0,130594.91,591.0,18012.09,40.0
51.0,65224.76,483.0,12822.67,43.0
39.0,27871.55,731.0,16412.18,104.0
37.0,30966.64,689.0,19200.17,106.0
37.0,34291.15,824.0,15957.96,95.0
48.0,62517.01,411.0,12449.05,52.0
49.0,125370.37,523.0,17208.96,22.0
45.0,34688.44,663.0,19546.9,102.0
43.0,61292.32,535.0,12075.92,42.0
40.0,63631.71,516.0,11934.05,46.0
34.0,138365.76,689.0,6556.3,33.0
33.0,136130.49,670.0,4059.68,10.0
45.0,55298.04,489.0,12713.78,43.0
50.0,64026.08,467.0,13414.85,35.0
49.0,39991.69,446.0,12515.23,36.0
60.0,127592.65,626.0,18403.47,16.0
38.0,50182.29,371.0,13938.19,49.0
56.0,137261.24,644.0,17821.63,23.0
59.0,142045.29,602.0,22901.21,27.0
44.0,123063.25,748.0,5608.44,31.0
61.0,125648.85,612.0,17853.69,13.0
33.0,136545.31,704.0,4084.52,24.0
40.0,145380.45,804.0,5633.93,28.0
33.0,60748.4,419.0,11686.37,45.0
58.0,125186.42,588.0,15640.54,37.0
33.0,149971.02,624.0,8262.19,34.0
39.0,68042.76,479.0,11686.69,48.0
40.0,32393.01,637.0,18693.53,87.0
49.0,129877.75,596.0,15252.06,16.0
37.0,26963.65,709.0,15442.16,88.0
35.0,145539.79,748.0,4576.61,28.0
34.0,133726.41,716.0,4327.77,35.0
50.0,50782.37,458.0,11584.61,32.0
60.0,123721.23,685.0,17708.13,31.0
39.0,61652.58,420.0,13925.88,31.0
37.0,21284.28,692.0,17781.62,83.0
39.0,138179.2,653.0,9610.96,21.0
32.0,138692.53,748.0,6609.91,26.0
40.0,50172.25,428.0,13516.52,42.0
44.0,62909.98,341.0,12696.29,41.0
41.0,24959.76,704.0,19208.08,96.0
43.0,32738.46,706.0,18563.49,92.0
50.0,55933.45,493.0,12639.53,35.0
57.0,130020.36,716.0,18568.14,25.0
45.0,146345.67,608.0,19913.98,14.0
48.0,55216.94,480.0,12758.04,27.0
26.0,138777.04,738.0,5493.88,26.0
52.0,53202.11,484.0,13371.51,50.0
25.0,140396.77,704.0,6953.91,16.0
35.0,37042.28,763.0,15808.35,101.0
54.0,133240.43,617.0,15742.29,25.0
28.0,135797.5,754.0,5017.1,10.0
28.0,134076.19,699.0,7500.92,7.0
49.0,22128.5,645.0,20662.52,93.0
38.0,137752.33,628.0,6609.97,9.0
41.0,21139.69,706.0,19586.24,99.0
56.0,139360.01,631.0,14593.21,24.0
55.0,127708.64,546.0,21102.57,12.0
67.0,130440.64,541.0,17404.97,20.0
63.0,146574.5,665.0,15044.77,18.0
52.0,140062.5,592.0,18502.49,21.0
36.0,132088.49,717.0,8147.33,14.0
55.0,128921.28,599.0,18646.4,26.0
60.0,148831.21,583.0,16876.36,17.0
42.0,57614.76,427.0,11720.35,42.0
42.0,67959.88,467.0,15139.29,38.0
38.0,61567.22,451.0,13370.43,41.0
27.0,119531.83,754.0,7704.68,26.0
59.0,149541.01,610.0,19990.13,16.0
54.0,129594.14,663.0,16791.31,28.0
37.0,64387.21,444.0,11690.28,41.0
30.0,128858.94,736.0,6347.03,25.0
37.0,58978.8,368.0,12286.25,38.0
56.0,127881.47,672.0,20492.75,17.0
52.0,35743.84,748.0,14598.63,90.0
26.0,141188.55,712.0,5507.12,19.0
27.0,126215.84,645.0,5025.81,22.0
60.0,128133.26,618.0,17146.33,23.0
40.0,61086.53,505.0,11605.69,56.0
63.0,133441.06,721.0,16362.48,15.0
40.0,59165.12,436.0,12022.22,34.0
37.0,63218.62,411.0,12349.24,36.0
68.0,138100.07,599.0,20086.38,19.0
28.0,131568.64,651.0,5870.4,18.0
42.0,55381.66,423.0,14042.65,38.0
47.0,37840.21,686.0,18690.56,87.0
23.0,130813.68,660.0,7265.66,17.0
40.0,25474.29,683.0,17516.54,98.0
31.0,114104.44,687.0,2907.18,35.0
65.0,136019.0,643.0,19441.86,28.0
40.0,66507.37,341.0,10498.33,32.0
40.0,70584.12,353.0,15141.09,38.0
46.0,59521.5,477.0,14014.89,57.0
33.0,69607.37,501.0,11859.32,44.0
46.0,69016.84,474.0,10766.17,50.0
21.0,146049.29,682.0,6461.12,25.0
33.0,126899.39,729.0,6685.87,23.0
42.0,34589.84,776.0,18117.81,97.0
46.0,59223.81,467.0,15684.38,37.0
65.0,121310.08,623.0,18341.96,28.0
27.0,134921.7,718.0,8626.5,31.0
42.0,32595.91,735.0,17522.61,107.0
43.0,35636.51,668.0,19861.85,94.0
37.0,22902.92,712.0,18800.46,103.0
51.0,127512.15,612.0,18311.31,20.0
34.0,126881.97,707.0,8185.71,21.0
26.0,140336.89,731.0,4230.69,36.0
40.0,42309.8,747.0,19298.07,100.0
50.0,136847.8,536.0,16985.81,30.0
46.0,53794.08,354.0,11982.94,48.0
26.0,145963.56,611.0,6734.35,29.0
39.0,52681.4,499.0,14458.44,44.0
40.0,29526.62,762.0,18566.4,99.0
33.0,131256.41,662.0,3789.47,11.0
28.0,128694.69,666.0,4929.6,21.0
39.0,37323.84,658.0,18170.44,110.0
39.0,68862.32,442.0,11066.17,48.0
53.0,46876.88,417.0,13397.38,44.0
45.0,27240.46,696.0,15897.5,98.0
41.0,66231.26,377.0,10913.55,37.0
59.0,125003.1,638.0,16156.55,34.0
44.0,23639.82,756.0,18793.48,81.0
28.0,138704.85,687.0,6529.19,16.0
31.0,130374.57,643.0,7475.57,32.0
35.0,51625.69,479.0,13830.23,37.0
47.0,32647.94,660.0,18676.91,90.0
67.0,130512.63,662.0,19056.34,33.0
37.0,34648.53,748.0,19900.95,117.0
28.0,143526.04,717.0,6001.77,14.0
39.0,133665.63,636.0,9812.55,38.0
63.0,125521.84,639.0,16877.73,16.0
33.0,148497.07,647.0,5258.83,29.0
39.0,19856.13,669.0,20226.36,93.0
52.0,125588.58,666.0,16101.0,43.0
36.0,67066.45,494.0,11267.56,41.0
39.0,25577.3,757.0,17209.79,103.0
48.0,62605.46,404.0,14087.2,35.0
37.0,128159.15,655.0,5668.53,28.0
55.0,130022.05,635.0,16815.71,15.0
45.0,34918.28,692.0,18736.65,101.0
41.0,60470.69,520.0,13833.59,44.0
59.0,124898.51,580.0,19119.75,16.0
49.0,130374.15,649.0,20644.44,22.0
36.0,135806.24,746.0,7978.05,21.0
40.0,29335.09,761.0,20364.42,106.0
60.0,132284.41,619.0,16427.88,22.0
35.0,134035.04,628.0,5831.55,39.0
43.0,49760.14,412.0,12224.42,27.0
46.0,59390.36,432.0,12561.37,15.0
45.0,70414.38,453.0,14557.27,29.0
24.0,138243.62,718.0,2463.64,16.0
26.0,123873.67,709.0,7974.3,29.0
52.0,62055.92,460.0,12727.18,27.0
63.0,132603.04,583.0,19154.27,25.0
41.0,65313.02,529.0,11966.74,45.0
41.0,25099.79,702.0,16296.58,93.0
40.0,49507.99,453.0,13795.96,44.0
39.0,33244.76,707.0,19088.1,92.0
32.0,125954.63,712.0,5640.95,10.0
39.0,35393.71,784.0,17975.66,97.0
42.0,136159.85,758.0,5647.52,29.0
68.0,122390.32,507.0,18675.77,18.0
41.0,50009.92,394.0,8964.66,39.0
42.0,41914.7,663.0,15216.72,96.0
52.0,127966.61,616.0,18819.66,16.0
25.0,145659.98,770.0,7291.87,39.0
26.0,144953.21,683.0,5477.64,23.0
43.0,66393.85,444.0,13643.62,37.0
34.0,134040.52,687.0,5267.7,35.0
30.0,137446.67,671.0,5564.59,24.0
51.0,142681.84,702.0,16724.79,19.0
33.0,35089.55,760.0,16867.89,74.0
38.0,131210.92,689.0,5791.63,22.0
44.0,29887.51,677.0,17246.49,103.0
27.0,34378.94,767.0,13557.4,87.0
18.0,131918.77,693.0,4055.89,21.0
53.0,135787.98,685.0,13280.07,15.0
58.0,128258.82,565.0,16657.17,12.0
52.0,34086.02,733.0,17363.4,96.0
61.0,139424.72,671.0,20421.69,27.0
66.0,122511.39,593.0,18102.65,33.0
39.0,71397.34,411.0,15780.5,38.0
62.0,132695.76,552.0,15460.41,19.0
37.0,125647.08,628.0,4847.18,33.0
54.0,141701.58,546.0,18947.89,39.0
40.0,30199.74,790.0,13837.36,107.0
43.0,34951.77,755.0,18965.85,95.0
43.0,26329.1,703.0,20064.46,96.0
53.0,128646.03,638.0,15595.6,27.0
32.0,73045.74,461.0,11272.37,41.0
63.0,136603.54,610.0,21282.44,13.0
63.0,135309.57,611.0,14782.38,25.0
51.0,61795.82,462.0,9896.58,19.0
27.0,125586.43,674.0,6264.87,30.0
58.0,137128.04,617.0,19218.05,21.0
42.0,30336.97,756.0,18331.32,89.0
38.0,39510.55,676.0,17075.63,98.0
34.0,144300.56,642.0,5862.28,21.0
41.0,17048.35,694.0,20339.74,95.0
21.0,127112.36,789.0,3555.81,27.0
59.0,133012.19,644.0,15964.99,20.0
48.0,21591.5,723.0,15615.38,98.0
63.0,134280.74,654.0,19027.15,15.0
43.0,32712.14,758.0,17129.22,99.0
46.0,57712.33,445.0,11434.72,41.0
35.0,135773.91,633.0,4942.48,20.0
47.0,50886.41,517.0,12737.54,35.0
60.0,134038.77,552.0,15857.02,30.0
35.0,50891.42,345.0,12551.82,38.0
45.0,34522.64,805.0,17925.87,100.0
28.0,146145.18,680.0,9324.64,32.0
31.0,130393.13,707.0,7252.93,9.0
48.0,29727.9,737.0,18418.65,94.0
42.0,42427.21,739.0,17468.59,92.0
35.0,120102.7,752.0,8497.76,23.0
56.0,136483.01,662.0,19012.66,9.0
